# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 180747
  1 0.09375 48.0256 1.4604 0.472894
  2 0.28125 48.0256 4.4249 0.479712
  3 0.46875 48.0256 7.3604 0.461203
  4 0.65625 48.0256 10.2331 0.463831
  5 0.84375 48.0256 13.2646 0.467741
  6 1.03125 48.0256 16.2009 0.463144
  7 1.21875 48.0256 19.1627 0.465839
  8 1.40625 48.0256 22.2466 0.463288
  9 1.59375 48.0256 25.3128 0.470068
  10 1.78125 48.0256 28.1857 0.464002
  11 1.96875 48.0256 31.0519 0.458269
  12 2.15625 48.0256 34.004 0.453172
  13 2.34375 48.0256 37.0601 0.448859
  14 2.53125 48.0256 39.9722 0.445924
  15 2.71875 48.0256 42.9703 0.440139
  16 2.90625 48.0256 46.109 0.436903
  17 3.09375 48.0256 48.8545 0.437075
  18 3.28125 48.0256 51.8747 0.430382
  19 3.46875 48.0256 54.8873 0.425979
  20 3.65625 48.0256 57.8026 0.422334
  21 3.84375 48.0256 61.1337 0.417151
  22 4.03125 48.0256 64.0822 0.414283
  23 4.21875 48.0256 67.0332 0.408644
  24 4.40625 48.0256 70.0675 0.4029
  25 4.59375 48.0256 73.0634 0.395673
  26 4.78125 48.0256 76.2664 0.391219
  27 4.96875 48.0256 79.3019 0.383784
  28 5.15625 48.0256 82.539 0.378729
  29 5.34375 48.0256 85.8862 0.376527
  30 5.53125 48.0256 89.1475 0.368176
  31 5.71875 48.0256 92.7267 0.365465
  32 5.90625 48.0256 95.946 0.359646
  33 6.09375 48.0256 99.4874 0.356194
  34 6.28125 48.0256 102.893 0.348473
  35 6.46875 48.0256 106.848 0.343819
  36 6.65625 48.0256 110.683 0.33604
  37 6.84375 48.0256 114.64 0.328393
  38 7.03125 48.0256 118.572 0.320046
  39 7.21875 48.0256 122.666 0.309205
  40 7.40625 48.0256 127.014 0.303164
  41 7.59375 48.0256 130.773 0.295266
  42 7.78125 48.0256 135.104 0.282243
  43 7.96875 48.0256 139.727 0.27528
  44 8.15625 48.0256 144.295 0.268039
  45 8.34375 48.0256 149.229 0.256802
  46 8.53125 48.0256 153.59 0.246198
  47 8.71875 48.0256 159.062 0.236664
  48 8.90625 48.0256 164.367 0.224546
  49 9.09375 48.0256 169.98 0.216039
  50 9.28125 48.0256 175.571 0.202457
  51 9.46875 48.0256 181.225 0.190656
  52 9.65625 48.0256 187.533 0.178741
  53 9.84375 48.0256 194.896 0.165263
  54 10.0312 48.0256 203.274 0.153528
  55 10.2188 48.0256 210.702 0.142156
  56 10.4062 48.0256 217.014 0.126864
  57 10.5938 48.0256 226.066 0.111601
  58 10.7812 48.0256 242.566 0.0948206
  59 10.9688 48.0256 267.978 0.0761131
  60 11.1562 48.0256 287.712 0.0574901
  61 11.3438 48.0256 292.058 0.0349224
  62 11.5312 48.0256 318.162 0.0194347
  63 11.7188 48.0256 444.62 0.00618179
  64 11.9062 48.0256 870.736 0.00156389
  65 12.0938 48.0256 1171.5 0.000670238
  66 12.2812 48.0256 1008.94 0.000543696
  67 12.4688 48.0256 1078.13 -0.00027827
  68 12.6562 48.0256 1054.41 4.65466e-05
  69 12.8438 48.0256 1469.35 0.000172165
  70 13.0312 48.0256 1676.42 -3.28556e-05
  71 13.2188 48.0256 1307.73 -2.8225e-05
  72 13.4062 48.0256 961.894 6.4018e-05
  73 13.5938 48.0256 1730.51 3.46097e-05
  74 13.7812 48.0256 1891.42 -4.65563e-05
  75 13.9688 48.0256 1317.32 1.81067e-07
  76 14.1562 48.0256 1293.71 -1.01361e-05
  77 14.3438 48.0256 1588.32 6.37874e-05
  78 14.5312 48.0256 1768.41 -7.68313e-05
  79 14.7188 48.0256 1925.24 2.33004e-05
  80 14.9062 48.0256 151405 -2.13155e-07
