# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 176267
  1 0.09375 48.0256 0.4934 0.76812
  2 0.28125 48.0256 1.474 0.762764
  3 0.46875 48.0256 2.5145 0.760989
  4 0.65625 48.0256 3.4857 0.760133
  5 0.84375 48.0256 4.4581 0.751242
  6 1.03125 48.0256 5.4095 0.750891
  7 1.21875 48.0256 6.3998 0.745318
  8 1.40625 48.0256 7.4255 0.74871
  9 1.59375 48.0256 8.3463 0.749557
  10 1.78125 48.0256 9.3026 0.758888
  11 1.96875 48.0256 10.2812 0.755055
  12 2.15625 48.0256 11.2586 0.750844
  13 2.34375 48.0256 12.1239 0.750494
  14 2.53125 48.0256 13.1454 0.748233
  15 2.71875 48.0256 14.07 0.741238
  16 2.90625 48.0256 14.945 0.731865
  17 3.09375 48.0256 15.8729 0.729824
  18 3.28125 48.0256 16.9364 0.729519
  19 3.46875 48.0256 18.0231 0.726929
  20 3.65625 48.0256 18.9481 0.728108
  21 3.84375 48.0256 19.9712 0.722259
  22 4.03125 48.0256 20.8429 0.714557
  23 4.21875 48.0256 21.9258 0.713218
  24 4.40625 48.0256 22.9889 0.713948
  25 4.59375 48.0256 24.0234 0.704629
  26 4.78125 48.0256 24.8979 0.697237
  27 4.96875 48.0256 25.84 0.686031
  28 5.15625 48.0256 26.8934 0.682573
  29 5.34375 48.0256 27.8371 0.666974
  30 5.53125 48.0256 28.9831 0.657197
  31 5.71875 48.0256 30.0091 0.653359
  32 5.90625 48.0256 30.879 0.642445
  33 6.09375 48.0256 31.9267 0.636864
  34 6.28125 48.0256 32.8471 0.632334
  35 6.46875 48.0256 33.9964 0.62296
  36 6.65625 48.0256 34.9202 0.611673
  37 6.84375 48.0256 35.7344 0.605147
  38 7.03125 48.0256 36.8949 0.596471
  39 7.21875 48.0256 37.91 0.583611
  40 7.40625 48.0256 38.919 0.575037
  41 7.59375 48.0256 39.8523 0.561468
  42 7.78125 48.0256 40.9555 0.545709
  43 7.96875 48.0256 41.7962 0.534976
  44 8.15625 48.0256 43.0813 0.525924
  45 8.34375 48.0256 44.1906 0.512499
  46 8.53125 48.0256 45.3453 0.498102
  47 8.71875 48.0256 46.3593 0.484353
  48 8.90625 48.0256 47.6584 0.467679
  49 9.09375 48.0256 48.7507 0.45421
  50 9.28125 48.0256 50.0936 0.434162
  51 9.46875 48.0256 51.7692 0.41495
  52 9.65625 48.0256 53.4001 0.395253
  53 9.84375 48.0256 55.5661 0.369176
  54 10.0312 48.0256 58.7731 0.337708
  55 10.2188 48.0256 62.5769 0.30707
  56 10.4062 48.0256 67.5881 0.279715
  57 10.5938 48.0256 74.7879 0.242476
  58 10.7812 48.0256 87.273 0.19671
  59 10.9688 48.0256 110.111 0.145634
  60 11.1562 48.0256 142.781 0.0935424
  61 11.3438 48.0256 180.353 0.0498795
  62 11.5312 48.0256 248.158 0.0215766
  63 11.7188 48.0256 415.013 0.00616563
  64 11.9062 48.0256 861.441 0.00172726
  65 12.0938 48.0256 1148.6 0.00084682
  66 12.2812 48.0256 993.939 0.000115212
  67 12.4688 48.0256 1071.26 0.000163078
  68 12.6562 48.0256 1053.97 0.000105915
  69 12.8438 48.0256 1483.48 3.84163e-05
  70 13.0312 48.0256 1656.88 5.13346e-05
  71 13.2188 48.0256 1299.39 6.88652e-05
  72 13.4062 48.0256 957.469 -0.000197561
  73 13.5938 48.0256 1755.82 6.73631e-05
  74 13.7812 48.0256 1866.43 -1.38062e-05
  75 13.9688 48.0256 1318.27 -0.000121717
  76 14.1562 48.0256 1294.18 -4.44552e-05
  77 14.3438 48.0256 1596.64 0.000148899
  78 14.5312 48.0256 1758.13 -0.000103112
  79 14.7188 48.0256 1927.2 6.1669e-05
  80 14.9062 48.0256 151385 -6.45181e-07
