# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 182828
  1 0.09375 48.0256 2.173 0.435504
  2 0.28125 48.0256 6.4651 0.429164
  3 0.46875 48.0256 10.804 0.425539
  4 0.65625 48.0256 15.0849 0.428326
  5 0.84375 48.0256 19.5621 0.425771
  6 1.03125 48.0256 23.7979 0.433209
  7 1.21875 48.0256 27.9053 0.429794
  8 1.40625 48.0256 32.2619 0.425
  9 1.59375 48.0256 36.7016 0.422123
  10 1.78125 48.0256 41.2568 0.419629
  11 1.96875 48.0256 45.2392 0.41694
  12 2.15625 48.0256 49.5582 0.417921
  13 2.34375 48.0256 54.1819 0.414743
  14 2.53125 48.0256 58.783 0.410337
  15 2.71875 48.0256 63.0407 0.405034
  16 2.90625 48.0256 67.2649 0.402318
  17 3.09375 48.0256 71.904 0.402041
  18 3.28125 48.0256 76.5721 0.399802
  19 3.46875 48.0256 81.2532 0.396705
  20 3.65625 48.0256 85.721 0.394789
  21 3.84375 48.0256 90.7515 0.389177
  22 4.03125 48.0256 95.1961 0.387345
  23 4.21875 48.0256 99.9816 0.383652
  24 4.40625 48.0256 104.467 0.380521
  25 4.59375 48.0256 109.342 0.379176
  26 4.78125 48.0256 114.058 0.373109
  27 4.96875 48.0256 118.64 0.3666
  28 5.15625 48.0256 123.14 0.360672
  29 5.34375 48.0256 128.666 0.353028
  30 5.53125 48.0256 133.561 0.351945
  31 5.71875 48.0256 138.293 0.344491
  32 5.90625 48.0256 142.869 0.335707
  33 6.09375 48.0256 147.54 0.328258
  34 6.28125 48.0256 152.541 0.324504
  35 6.46875 48.0256 157.176 0.319156
  36 6.65625 48.0256 161.735 0.310454
  37 6.84375 48.0256 166.189 0.303386
  38 7.03125 48.0256 171.142 0.296689
  39 7.21875 48.0256 175.476 0.288343
  40 7.40625 48.0256 179.941 0.279355
  41 7.59375 48.0256 184.508 0.270126
  42 7.78125 48.0256 188.83 0.262678
  43 7.96875 48.0256 193.367 0.253966
  44 8.15625 48.0256 197.484 0.247087
  45 8.34375 48.0256 201.852 0.237271
  46 8.53125 48.0256 206.049 0.227352
  47 8.71875 48.0256 210.549 0.219698
  48 8.90625 48.0256 215.186 0.210039
  49 9.09375 48.0256 219.807 0.198657
  50 9.28125 48.0256 224.294 0.187052
  51 9.46875 48.0256 228.699 0.177136
  52 9.65625 48.0256 233.417 0.165098
  53 9.84375 48.0256 238.99 0.154308
  54 10.0312 48.0256 245.818 0.140946
  55 10.2188 48.0256 250.857 0.129548
  56 10.4062 48.0256 254.442 0.115872
  57 10.5938 48.0256 259.681 0.100201
  58 10.7812 48.0256 273.645 0.0855948
  59 10.9688 48.0256 296.508 0.0711849
  60 11.1562 48.0256 309.996 0.0525877
  61 11.3438 48.0256 305.779 0.032423
  62 11.5312 48.0256 327.468 0.017439
  63 11.7188 48.0256 449.912 0.0066483
  64 11.9062 48.0256 872.728 0.00154228
  65 12.0938 48.0256 1177.72 0.000535278
  66 12.2812 48.0256 1013.66 0.000357979
  67 12.4688 48.0256 1075.26 0.000105684
  68 12.6562 48.0256 1052.25 0.000111443
  69 12.8438 48.0256 1470.74 4.99465e-05
  70 13.0312 48.0256 1678.22 -8.82513e-05
  71 13.2188 48.0256 1308.18 7.96555e-05
  72 13.4062 48.0256 961.462 -0.000125707
  73 13.5938 48.0256 1728.71 1.66098e-06
  74 13.7812 48.0256 1893 -6.49676e-05
  75 13.9688 48.0256 1318.53 -1.17798e-05
  76 14.1562 48.0256 1293.57 4.16917e-05
  77 14.3438 48.0256 1586.26 0.000160499
  78 14.5312 48.0256 1769.95 -0.000107939
  79 14.7188 48.0256 1925.58 3.65375e-05
  80 14.9062 48.0256 151405 -1.45439e-07
