# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
1000000 80 175004
  1 0.09375 48.0256 0.19689 1.25935
  2 0.28125 48.0256 0.58413 1.26363
  3 0.46875 48.0256 0.97968 1.25285
  4 0.65625 48.0256 1.3775 1.26021
  5 0.84375 48.0256 1.77552 1.2621
  6 1.03125 48.0256 2.16928 1.25221
  7 1.21875 48.0256 2.57292 1.25096
  8 1.40625 48.0256 2.97293 1.25119
  9 1.59375 48.0256 3.37565 1.25135
  10 1.78125 48.0256 3.76328 1.24833
  11 1.96875 48.0256 4.15567 1.24066
  12 2.15625 48.0256 4.55258 1.23638
  13 2.34375 48.0256 4.9688 1.23376
  14 2.53125 48.0256 5.3821 1.23358
  15 2.71875 48.0256 5.7584 1.2192
  16 2.90625 48.0256 6.15034 1.21647
  17 3.09375 48.0256 6.55023 1.21294
  18 3.28125 48.0256 6.95461 1.21017
  19 3.46875 48.0256 7.35691 1.20523
  20 3.65625 48.0256 7.74504 1.20284
  21 3.84375 48.0256 8.16802 1.20644
  22 4.03125 48.0256 8.57736 1.19776
  23 4.21875 48.0256 8.98132 1.19081
  24 4.40625 48.0256 9.34746 1.1848
  25 4.59375 48.0256 9.77137 1.17401
  26 4.78125 48.0256 10.1746 1.16618
  27 4.96875 48.0256 10.5717 1.16546
  28 5.15625 48.0256 10.9515 1.15386
  29 5.34375 48.0256 11.338 1.14492
  30 5.53125 48.0256 11.777 1.13337
  31 5.71875 48.0256 12.1817 1.12783
  32 5.90625 48.0256 12.5959 1.12012
  33 6.09375 48.0256 12.9905 1.11222
  34 6.28125 48.0256 13.4043 1.09813
  35 6.46875 48.0256 13.8101 1.0887
  36 6.65625 48.0256 14.2094 1.07794
  37 6.84375 48.0256 14.6382 1.06496
  38 7.03125 48.0256 15.0683 1.05827
  39 7.21875 48.0256 15.5338 1.04729
  40 7.40625 48.0256 15.9526 1.03442
  41 7.59375 48.0256 16.3525 1.02156
  42 7.78125 48.0256 16.7868 1.00773
  43 7.96875 48.0256 17.2306 0.989548
  44 8.15625 48.0256 17.6387 0.974745
  45 8.34375 48.0256 18.1396 0.961434
  46 8.53125 48.0256 18.5934 0.940907
  47 8.71875 48.0256 19.0057 0.923056
  48 8.90625 48.0256 19.4557 0.904118
  49 9.09375 48.0256 19.9591 0.879557
  50 9.28125 48.0256 20.4322 0.853894
  51 9.46875 48.0256 20.9959 0.827273
  52 9.65625 48.0256 21.6733 0.794316
  53 9.84375 48.0256 22.5729 0.753441
  54 10.0312 48.0256 23.7089 0.70938
  55 10.2188 48.0256 25.2542 0.652799
  56 10.4062 48.0256 27.61 0.583491
  57 10.5938 48.0256 31.5908 0.492834
  58 10.7812 48.0256 40.3426 0.366811
  59 10.9688 48.0256 63.4394 0.216066
  60 11.1562 48.0256 109.364 0.103846
  61 11.3438 48.0256 170.507 0.0459996
  62 11.5312 48.0256 251.573 0.0192099
  63 11.7188 48.0256 422.278 0.00653742
  64 11.9062 48.0256 851.999 0.00185587
  65 12.0938 48.0256 1096.81 0.000726726
  66 12.2812 48.0256 961.666 0.000446263
  67 12.4688 48.0256 1054.22 7.94093e-05
  68 12.6562 48.0256 1061.18 9.14779e-05
  69 12.8438 48.0256 1482.18 -2.14981e-05
  70 13.0312 48.0256 1632.86 5.07329e-05
  71 13.2188 48.0256 1287.66 -4.78613e-05
  72 13.4062 48.0256 955.759 -3.15638e-06
  73 13.5938 48.0256 1770.87 3.84626e-05
  74 13.7812 48.0256 1848.01 -1.74666e-05
  75 13.9688 48.0256 1317.99 -1.25673e-05
  76 14.1562 48.0256 1292.9 9.75579e-06
  77 14.3438 48.0256 1602.87 -1.74921e-05
  78 14.5312 48.0256 1750.89 2.91156e-05
  79 14.7188 48.0256 1927.05 -9.78828e-06
  80 14.9062 48.0256 151375 4.197e-07
